"No.","Time","Source","Destination","Protocol","Length","Info"
"25959","3.825783","97.188.78.99","10.10.10.10","TCP","60","16181  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25960","3.825876","202.116.134.135","10.10.10.10","TCP","60","3287  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25961","3.825877","204.86.170.136","10.10.10.10","TCP","60","24600  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25962","3.825877","130.11.195.198","10.10.10.10","TCP","60","57863  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25963","3.825878","75.67.127.200","10.10.10.10","TCP","60","54743  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25964","3.825879","214.189.168.132","10.10.10.10","TCP","60","7187  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25965","3.825879","183.136.90.201","10.10.10.10","TCP","60","49876  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25966","3.825880","62.244.180.49","10.10.10.10","TCP","60","61408  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25967","3.825880","120.21.159.130","10.10.10.10","TCP","60","2082  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25968","3.825977","213.119.36.22","10.10.10.10","TCP","60","23537  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25969","3.825978","92.71.100.53","10.10.10.10","TCP","60","52635  >  25565 [SYN] Seq=0 Win=0 Len=0"
